fft_0, fft_1, fft_2, zf_0, zf_1, zf_2, demul_0, demul_1, demul_2, decode_0, decode_1, decode_2
265.877 1001.507 5801.831 54.290 68.907 1048.272 306.678 257.103 95.049 2.521 1768.877 0.000
262.196 1097.269 5767.673 49.326 65.066 899.053 308.603 259.351 95.387 1.989 1755.890 0.000
251.844 975.184 5633.351 54.239 67.994 904.357 307.298 258.439 96.297 3.011 1750.944 0.000
278.568 1137.902 5748.529 50.681 65.982 897.989 304.674 260.922 97.621 2.344 1975.080 0.000
258.544 1092.142 5795.464 62.717 77.366 934.421 307.605 258.853 95.146 3.162 1807.006 0.000
257.900 1009.520 5661.699 53.574 69.544 921.967 306.752 260.737 94.192 2.607 1797.308 0.000
256.786 1056.705 5591.355 61.911 77.213 905.705 305.463 256.295 94.244 2.930 1805.531 0.000
263.044 998.859 5600.721 51.772 68.271 902.606 305.952 257.942 94.904 2.532 1795.354 0.000
284.172 976.259 5788.254 58.901 73.173 906.601 306.728 256.854 95.065 2.896 1794.466 0.000
265.453 1117.489 5752.932 51.793 67.694 898.260 304.757 258.300 95.237 2.581 1802.179 0.000
264.170 1097.460 5906.042 56.143 69.997 902.821 394.807 1107.926 2517.113 32.350 1815.501 0.000
256.273 1024.272 7092.256 51.260 61.996 2118.090 389.163 336.478 2665.735 26.684 1812.790 0.000
255.863 997.923 7042.382 53.949 65.253 1920.893 393.651 330.758 2577.168 35.694 1811.848 0.000
257.065 1022.995 7014.783 55.282 65.697 1948.851 394.029 331.137 2618.279 26.152 1809.080 0.000
260.902 1004.799 7114.430 57.643 67.955 1928.175 391.416 331.281 2607.877 33.602 1816.715 0.000
269.386 1055.748 6948.640 54.813 64.716 1913.695 393.214 336.268 2630.551 22.728 1837.484 0.000
264.519 1136.211 7221.290 55.053 65.435 1919.633 385.541 337.126 2567.484 39.027 1818.561 0.000
257.632 1103.446 7185.728 52.770 63.166 1910.061 392.253 335.432 2621.894 30.448 1810.967 0.000
256.871 1021.646 7074.470 56.271 66.281 1984.151 389.909 334.079 2621.071 32.909 1811.890 0.000
254.818 1025.396 7152.060 55.086 65.102 1906.330 390.418 333.904 2613.152 29.486 1803.405 0.000
257.750 1022.096 7186.212 55.854 66.391 1901.524 388.573 335.344 2655.001 39.900 1810.018 0.000
256.272 1004.092 7289.201 56.052 66.622 1936.658 398.164 337.800 2606.103 29.083 1805.206 0.000
259.872 998.134 7036.395 55.899 66.246 1976.589 395.571 335.780 2653.915 29.519 1812.029 0.000
258.590 1024.886 7247.165 56.049 66.590 1979.363 390.634 335.354 2719.821 21.382 1810.779 0.000
258.837 998.385 6912.428 56.242 66.442 1961.000 394.768 333.166 2628.259 40.731 1808.128 0.000
258.730 1048.912 6940.567 50.633 61.026 1972.312 394.028 332.053 2624.024 24.206 1813.486 0.000
258.688 1000.410 7050.129 53.177 63.694 1928.466 403.872 332.352 2595.674 26.160 1811.914 0.000
261.581 1132.156 7121.477 51.858 62.438 1915.908 390.184 334.465 2663.776 31.134 1812.140 0.000
261.007 1099.961 7274.019 55.391 65.746 1938.362 390.593 393.277 2629.309 40.695 1807.930 0.000
260.173 1103.131 7210.028 52.225 62.493 1980.715 402.478 335.883 2649.547 38.150 1812.046 0.000
257.540 1003.626 7109.108 54.494 64.366 1940.661 394.755 338.677 2603.019 28.140 1810.885 0.000
259.396 1023.982 6967.217 54.123 64.555 1959.328 395.096 338.036 2654.214 22.486 1813.947 0.000
258.520 1006.092 7089.541 51.935 61.931 1906.623 395.620 330.973 2668.143 29.994 1815.351 0.000
256.074 999.599 7312.850 52.459 62.179 1939.263 393.978 337.038 2663.528 27.348 1810.651 0.000
267.201 1127.835 6849.617 53.828 64.251 1999.391 402.517 330.428 2629.416 42.303 1810.683 0.000
256.951 1100.320 7153.355 51.909 62.598 1910.113 392.373 330.300 2588.361 31.912 1799.040 0.000
259.536 1022.550 7123.385 52.337 62.520 1964.112 390.997 333.112 2574.173 38.660 1806.220 0.000
262.639 1021.628 7158.252 51.389 62.112 1924.423 389.998 333.831 2700.562 32.427 1840.074 0.000
259.860 1017.576 7059.224 57.613 67.523 1986.454 401.589 338.929 2642.093 30.611 1821.881 0.000
256.738 1006.500 7007.133 52.190 62.335 1962.730 397.693 340.002 2621.725 19.170 1818.858 0.000
268.752 1000.046 4735.359 55.269 65.397 1870.921 412.069 332.329 2622.332 35.870 1808.660 0.000
273.819 1129.805 4675.381 55.565 65.839 1943.275 411.178 336.251 2686.367 26.991 1817.970 0.000
270.879 1096.166 4753.089 55.670 65.853 1950.117 406.422 328.037 2695.155 35.838 1805.881 0.000
274.807 1096.317 4702.899 56.698 67.278 1928.510 404.358 330.293 2705.574 26.618 1798.610 0.000
271.726 1011.930 4859.649 56.252 66.305 1986.063 403.660 332.192 2690.273 41.308 1774.100 0.000
270.469 1015.854 4662.331 56.647 66.639 1922.004 402.575 334.781 2676.410 37.468 1782.119 0.000
261.743 1019.621 4665.813 56.970 67.703 1934.734 391.128 317.358 2162.022 35.776 1857.748 0.000
270.426 1022.388 4657.362 53.847 63.961 1919.760 389.513 325.141 2324.367 21.755 1849.718 0.000
273.546 1022.308 4761.506 56.222 66.474 1929.905 403.740 334.146 2629.753 38.972 1778.616 0.000
268.527 992.386 4745.376 54.847 65.211 1916.142 409.755 341.612 2650.495 33.963 1770.747 0.000
269.268 1000.633 4947.101 49.742 59.877 1014.971 351.478 263.694 564.314 8.740 1755.639 0.000
268.585 974.852 3675.017 43.853 53.679 992.855 355.861 262.424 518.123 7.684 1749.369 0.000
270.611 972.507 3530.650 44.884 54.782 981.382 353.263 261.004 485.663 9.601 1747.206 0.000
277.584 1109.979 3500.556 43.733 53.732 979.701 356.300 262.902 487.301 8.201 1749.940 0.000
273.690 1086.800 3615.638 45.523 55.646 980.112 352.223 324.872 479.300 8.788 1756.666 0.000
269.431 992.475 3478.172 43.877 54.260 1006.796 356.252 262.457 506.307 7.815 1752.562 0.000
268.196 968.609 3652.933 45.312 55.761 981.424 350.824 261.966 467.426 8.540 1747.405 0.000
268.322 992.224 3502.221 43.430 53.407 978.900 350.829 262.688 485.564 7.656 1748.250 0.000
266.836 974.835 3603.724 46.145 56.599 980.224 353.654 261.174 494.856 8.753 1751.634 0.000
265.816 971.876 3625.233 43.330 53.226 972.241 354.974 262.804 503.989 7.064 1749.519 0.000
276.629 1109.651 3560.321 45.954 55.952 984.590 352.503 260.997 479.396 9.656 1750.101 0.000
267.718 1083.372 3688.594 43.519 53.385 980.438 353.183 262.666 499.344 7.516 1748.095 0.000
271.184 993.125 3542.407 46.154 56.623 987.864 354.552 261.278 492.717 7.439 1749.923 0.000
